Symbol,Date,Time,Open,High,Low,Close
MNQ2022Z,06/12/2022,1813,11584.5,11587.75,11584.5,11587.25
MNQ2022Z,06/12/2022,1814,11587.75,11589,11585.5,11586
MNQ2022Z,06/12/2022,1815,11586,11587.5,11585,11585.25
MNQ2022Z,06/12/2022,1816,11585.25,11585.5,11582.5,11582.75
MNQ2022Z,06/12/2022,1817,11583,11583.75,11581.5,11582.75
MNQ2022Z,06/12/2022,1818,11582.5,11585.75,11582.5,11584.5
MNQ2022Z,06/12/2022,1819,11584.5,11584.75,11582.5,11583.25
MNQ2022Z,06/12/2022,1820,11583,11585,11582.75,11584.25
MNQ2022Z,06/12/2022,1821,11584.25,11586.75,11583.5,11586.75
MNQ2022Z,06/12/2022,1822,11587,11587.5,11584.75,11585.25
MNQ2022Z,06/12/2022,1823,11584.5,11585.75,11584.25,11584.5
MNQ2022Z,06/12/2022,1824,11585,11586,11584.5,11584.75
MNQ2022Z,06/12/2022,1825,11585,11585.25,11584,11584
MNQ2022Z,06/12/2022,1826,11584,11585.75,11583.5,11584.75
MNQ2022Z,06/12/2022,1827,11584.75,11585,11582.75,11583.5
MNQ2022Z,06/12/2022,1828,11583.75,11584.25,11582.5,11582.75
MNQ2022Z,06/12/2022,1829,11582.75,11583.75,11582,11582.75
MNQ2022Z,06/12/2022,1830,11582.5,11584.25,11582.25,11583.75
MNQ2022Z,06/12/2022,1831,11583.75,11583.75,11582,11582.75
MNQ2022Z,06/12/2022,1832,11582.25,11582.75,11581.25,11582
MNQ2022Z,06/12/2022,1833,11582,11583.25,11582,11582.5
MNQ2022Z,06/12/2022,1834,11582.25,11584,11582,11583.75
MNQ2022Z,06/12/2022,1835,11583.5,11583.75,11582.25,11583.5
MNQ2022Z,06/12/2022,1836,11584,11585,11583.75,11584.25
MNQ2022Z,06/12/2022,1837,11584.5,11584.5,11583.25,11584.25
MNQ2022Z,06/12/2022,1838,11583.25,11585,11583,11583.25
MNQ2022Z,06/12/2022,1839,11582.75,11582.75,11580.25,11581.25
MNQ2022Z,06/12/2022,1840,11581.5,11582.5,11581,11581
MNQ2022Z,06/12/2022,1841,11581,11582,11579.5,11581
MNQ2022Z,06/12/2022,1842,11580.75,11581.25,11579.5,11581
MNQ2022Z,06/12/2022,1843,11580.75,11580.75,11579.5,11580
MNQ2022Z,06/12/2022,1844,11579.75,11580.75,11579.5,11579.75
MNQ2022Z,06/12/2022,1845,11579.75,11582.5,11579.75,11582
MNQ2022Z,06/12/2022,1846,11582,11582,11579.75,11580
MNQ2022Z,06/12/2022,1847,11579.25,11580,11578.25,11578.75
MNQ2022Z,06/12/2022,1848,11578.5,11579.25,11577.5,11577.75
MNQ2022Z,06/12/2022,1849,11577.5,11578.25,11575,11575.25
MNQ2022Z,06/12/2022,1850,11575.25,11577,11575,11576.25
MNQ2022Z,06/12/2022,1851,11576,11577,11575.25,11575.75
MNQ2022Z,06/12/2022,1852,11575.75,11576.5,11575.25,11575.75
MNQ2022Z,06/12/2022,1853,11576,11576.5,11574,11574.25
MNQ2022Z,06/12/2022,1854,11574.5,11575.75,11574.25,11575.75
MNQ2022Z,06/12/2022,1855,11575.75,11577.25,11575,11577
MNQ2022Z,06/12/2022,1856,11577,11578.5,11576.75,11577.5
MNQ2022Z,06/12/2022,1857,11577.5,11579.25,11577.25,11578.25
MNQ2022Z,06/12/2022,1858,11578.5,11579.25,11574.5,11575.25
MNQ2022Z,06/12/2022,1859,11575.25,11575.25,11572,11572.5
MNQ2022Z,06/12/2022,1900,11572.75,11576,11571.75,11575.5
MNQ2022Z,06/12/2022,1901,11575.25,11576.25,11567.75,11568.5
MNQ2022Z,06/12/2022,1902,11569,11571.25,11568.25,11571.25
MNQ2022Z,06/12/2022,1903,11571,11572.25,11569.75,11570.75
MNQ2022Z,06/12/2022,1904,11570.5,11574.75,11570.5,11573
MNQ2022Z,06/12/2022,1905,11572.75,11576.25,11572.5,11575.25
MNQ2022Z,06/12/2022,1906,11575.5,11576.25,11571.75,11571.75
MNQ2022Z,06/12/2022,1907,11571.75,11572.5,11566.5,11568.75
MNQ2022Z,06/12/2022,1908,11568.25,11569,11567.25,11567.5
MNQ2022Z,06/12/2022,1909,11568,11570.5,11567.5,11569.5
MNQ2022Z,06/12/2022,1910,11569.5,11574.5,11569.25,11573
MNQ2022Z,06/12/2022,1911,11573.5,11574.25,11571.5,11573
MNQ2022Z,06/12/2022,1912,11572.5,11575,11572.5,11574.5
MNQ2022Z,06/12/2022,1913,11574.5,11577,11574.5,11576.5
MNQ2022Z,06/12/2022,1914,11576.25,11576.5,11573.75,11574
MNQ2022Z,06/12/2022,1915,11574.25,11577,11573.75,11574.5
MNQ2022Z,06/12/2022,1916,11574.75,11577.75,11574.5,11576.75
MNQ2022Z,06/12/2022,1917,11577,11577,11575,11575.5
MNQ2022Z,06/12/2022,1918,11575.5,11577.5,11574.25,11574.25
MNQ2022Z,06/12/2022,1919,11575,11576.5,11574.75,11575.5
MNQ2022Z,06/12/2022,1920,11576,11580,11575.75,11580
MNQ2022Z,06/12/2022,1921,11580.25,11580.75,11578.5,11579
MNQ2022Z,06/12/2022,1922,11579,11580,11577,11577.25
MNQ2022Z,06/12/2022,1923,11577.25,11580,11576.5,11579
MNQ2022Z,06/12/2022,1924,11579.5,11579.5,11576.5,11577
MNQ2022Z,06/12/2022,1925,11577.25,11577.25,11573.5,11575.75
MNQ2022Z,06/12/2022,1926,11576.25,11577,11572.75,11573
MNQ2022Z,06/12/2022,1927,11573.5,11575.5,11572.5,11575.25
MNQ2022Z,06/12/2022,1928,11575.25,11575.75,11572,11572.75
MNQ2022Z,06/12/2022,1929,11573.25,11574.5,11573,11574.25
MNQ2022Z,06/12/2022,1930,11574.5,11580.75,11574.25,11580.75
MNQ2022Z,06/12/2022,1931,11580.75,11582.75,11580,11580.25
MNQ2022Z,06/12/2022,1932,11581,11582.75,11579.5,11579.5
MNQ2022Z,06/12/2022,1933,11579.25,11580,11577,11578
MNQ2022Z,06/12/2022,1934,11578,11578.5,11576.25,11577
MNQ2022Z,06/12/2022,1935,11577,11580,11576.25,11579.5
MNQ2022Z,06/12/2022,1936,11580,11580.5,11578.75,11580
MNQ2022Z,06/12/2022,1937,11580.5,11582,11579.75,11580
MNQ2022Z,06/12/2022,1938,11580.75,11582.75,11579.5,11582
MNQ2022Z,06/12/2022,1939,11582.25,11583.75,11580.75,11581
MNQ2022Z,06/12/2022,1940,11580.75,11581.75,11579.25,11581
MNQ2022Z,06/12/2022,1941,11582,11584.25,11581.75,11582.25
MNQ2022Z,06/12/2022,1942,11582.5,11587.25,11582.5,11586
MNQ2022Z,06/12/2022,1943,11586,11588,11586,11587
MNQ2022Z,06/12/2022,1944,11587,11590.75,11586.75,11587.5
MNQ2022Z,06/12/2022,1945,11587.5,11588.25,11584.75,11585
MNQ2022Z,06/12/2022,1946,11585.25,11586.25,11583.25,11586.25
MNQ2022Z,06/12/2022,1947,11586.25,11587.5,11585.25,11587
